"year","zone","timePeriod","gender","count"
"2006","S01001792","Calendar Year","All",8
"2012","S01001804","Calendar Year","All",10
"2005","S01001792","Between Mid Points Of Years","All",9
"2010","S01001793","Between Mid Points Of Years","All",7
"2012","S01001805","Calendar Year","All",7
"2005","S01001791","Between Mid Points Of Years","All",4
"2008","S01001809","Between Mid Points Of Years","All",12
"2012","S01001806","Calendar Year","All",3
"2003","S01001801","Between Mid Points Of Years","All",9
"2006","S01001791","Calendar Year","All",6
"2012","S01001807","Calendar Year","All",6
"2011","S01001791","Between Mid Points Of Years","All",7
"2004","S01001790","Calendar Year","All",8
"2012","S01001808","Calendar Year","All",3
"2014","S01001805","Between Mid Points Of Years","All",10
"2013","S01001806","Between Mid Points Of Years","All",1
"2012","S01001809","Calendar Year","All",16
"2005","S01001790","Between Mid Points Of Years","All",7
"2006","S01001790","Calendar Year","All",6
"2002","S01001800","Between Mid Points Of Years","All",11
"2013","S01001807","Calendar Year","All",5
"2005","S01001794","Between Mid Points Of Years","All",7
"2004","S01001803","Calendar Year","All",12
"2013","S01001808","Calendar Year","All",6
"2011","S01001792","Between Mid Points Of Years","All",11
"2007","S01001794","Calendar Year","All",12
"2013","S01001809","Calendar Year","All",15
"2005","S01001795","Between Mid Points Of Years","All",6
"2008","S01001808","Between Mid Points Of Years","All",7
"2003","S01001800","Between Mid Points Of Years","All",14
"2013","S01001793","Between Mid Points Of Years","All",4
"2013","S01001804","Calendar Year","All",15
"2005","S01001796","Between Mid Points Of Years","All",1
"2007","S01001795","Calendar Year","All",3
"2013","S01001805","Calendar Year","All",6
"2011","S01001793","Between Mid Points Of Years","All",13
"2014","S01001796","Between Mid Points Of Years","All",4
"2013","S01001806","Calendar Year","All",1
"2005","S01001797","Between Mid Points Of Years","All",3
"2005","S01001809","Calendar Year","All",15
"2005","S01001798","Between Mid Points Of Years","All",5
"2013","S01001799","Calendar Year","All",13
"2007","S01001796","Calendar Year","All",8
"2011","S01001794","Between Mid Points Of Years","All",3
"2013","S01001798","Calendar Year","All",4
"2008","S01001807","Between Mid Points Of Years","All",9
"2005","S01001799","Between Mid Points Of Years","All",16
"2013","S01001797","Calendar Year","All",10
"2010","S01001802","Between Mid Points Of Years","All",19
"2014","S01001806","Between Mid Points Of Years","All",6
"2013","S01001796","Calendar Year","All",2
"2007","S01001797","Calendar Year","All",6
"2003","S01001799","Between Mid Points Of Years","All",13
"2013","S01001795","Calendar Year","All",10
"2013","S01001805","Between Mid Points Of Years","All",5
"2005","S01001800","Between Mid Points Of Years","All",9
"2013","S01001794","Calendar Year","All",8
"2009","S01001807","Between Mid Points Of Years","All",7
"2011","S01001795","Between Mid Points Of Years","All",4
"2013","S01001790","Calendar Year","All",7
"2005","S01001801","Between Mid Points Of Years","All",2
"2007","S01001798","Calendar Year","All",4
"2013","S01001791","Calendar Year","All",2
"2005","S01001802","Between Mid Points Of Years","All",13
"2008","S01001806","Between Mid Points Of Years","All",4
"2013","S01001792","Calendar Year","All",8
"2011","S01001796","Between Mid Points Of Years","All",5
"2005","S01001808","Calendar Year","All",11
"2013","S01001793","Calendar Year","All",3
"2013","S01001800","Calendar Year","All",8
"2005","S01001803","Between Mid Points Of Years","All",21
"2007","S01001799","Calendar Year","All",12
"2013","S01001801","Calendar Year","All",8
"2003","S01001798","Between Mid Points Of Years","All",4
"2008","S01001805","Between Mid Points Of Years","All",9
